,datetime,tempmin,temp,tempmax
0,2023-01-01,23.0,25.0,28.0
1,2023-01-02,23.0,26.5,31.0
2,2023-01-03,25.0,28.0,33.0
3,2023-01-04,25.0,28.0,33.0
4,2023-01-05,22.0,23.5,25.0
5,2023-01-06,20.8,21.9,23.0
6,2023-01-07,19.0,20.2,21.0
7,2023-01-08,20.0,21.8,24.3
8,2023-01-09,21.0,22.1,24.8
9,2023-01-10,22.0,23.7,25.1
10,2023-01-11,23.0,24.6,27.8
11,2023-01-12,23.8,26.6,31.0
12,2023-01-13,24.8,27.6,35.0
13,2023-01-14,25.0,28.7,34.0
14,2023-01-15,26.0,28.4,31.1
15,2023-01-16,25.0,27.5,30.0
16,2023-01-17,25.0,26.8,29.0
17,2023-01-18,24.7,26.5,28.1
18,2023-01-19,24.0,26.7,29.0
19,2023-01-20,23.0,25.2,28.0
20,2023-01-21,23.0,25.1,28.0
21,2023-01-22,23.0,25.6,27.1
22,2023-01-23,24.0,26.4,32.0
23,2023-01-24,24.0,25.7,28.0
24,2023-01-25,24.0,25.7,28.0
25,2023-01-26,22.8,25.1,28.0
26,2023-01-27,24.0,26.0,28.0
27,2023-01-28,24.0,26.1,29.1
28,2023-01-29,24.0,26.0,29.1
29,2023-01-30,24.0,26.9,32.0
30,2023-01-31,24.0,28.0,32.0
31,2023-02-01,25.0,27.5,29.1
